name,club,season,position,overall,nationality
L. Muriel,Sevilla FC,2017/18,ST,80,Colombia
Pablo Sarabia,Sevilla FC,2017/18,CM,80,Spain
Hugo Mallo,RC Celta de Vigo,2017/18,CB,80,Spain
Mario Gaspar,Villarreal CF,2017/18,RB,81,Spain
De Marcos,Athletic Club de Bilbao,2017/18,RB,81,Spain
Susaeta,Athletic Club de Bilbao,2017/18,LW,78,Spain
P. Piatti,RCD Espanyol,2017/18,LW,79,Argentina
Sidnei,RC Deportivo de La Coruña,2017/18,CB,80,Brazil
Kiko Casilla,Real Madrid CF,2017/18,GK,80,Spain
Pedro León,SD Eibar,2017/18,LW,80,Spain
Raúl García,Athletic Club de Bilbao,2017/18,RW,81,Spain
C. Vela,Real Sociedad,2017/18,ST,82,Mexico
G. Cabral,RC Celta de Vigo,2017/18,CB,80,Argentina
Moyá,Atlético Madrid,2017/18,GK,81,Spain
Fernando Torres,Atlético Madrid,2017/18,ST,81,Spain
Oyarzabal,Real Sociedad,2017/18,RW,79,Spain
F. Andone,RC Deportivo de La Coruña,2017/18,ST,79,Romania
L. Hernández,Atlético Madrid,2017/18,LB,77,France
A. Sanabria,Real Betis Balompié,2017/18,ST,78,Paraguay
Morales,Levante UD,2017/18,RW,78,Spain
Morales,Levante UD,2017/18,RW,78,Spain
Gayà,Valencia CF,2017/18,LW,79,Spain
Andreas Pereira,Valencia CF,2017/18,CAM,77,Brazil
A. Januzaj,Real Sociedad,2017/18,CAM,77,Belgium
Álvaro,Villarreal CF,2017/18,RB,77,Spain
Sergi Darder,RCD Espanyol,2017/18,CM,78,Spain
Sergi Darder,RCD Espanyol,2017/18,CM,78,Spain
David López,RCD Espanyol,2017/18,CDM,78,Spain
L. Digne,FC Barcelona,2017/18,LB,79,France
Paco Alcácer,FC Barcelona,2017/18,ST,79,Spain
E. Çolak,RC Deportivo de La Coruña,2017/18,CM,79,Turkey
Campaña,Levante UD,2017/18,CM,77,Spain
Nolito,Sevilla FC,2017/18,LW,79,Spain
Sergi Enrich,SD Eibar,2017/18,ST,80,Spain
Jaume Costa,Villarreal CF,2017/18,LW,79,Spain
Herrerín,Athletic Club de Bilbao,2017/18,GK,76,Spain
Escudero,Sevilla FC,2017/18,LW,79,Spain
Muniain,Athletic Club de Bilbao,2017/18,RW,78,Spain
Iturraspe,Athletic Club de Bilbao,2017/18,CM,81,Spain
Daniel Carriço,Sevilla FC,2017/18,CDM,80,Portugal
C. Stuani,Girona CF,2017/18,RW,77,Uruguay
Mikel San José,Athletic Club de Bilbao,2017/18,CM,80,Spain
G. Mercado,Sevilla FC,2017/18,RB,76,Argentina
N. Amrabat,CD Leganés,2017/18,CAM,79,Morocco
Antunes,Getafe CF,2017/18,LB,79,Portugal
D. Zurutuza,Real Sociedad,2017/18,CM,79,France
Jurado,RCD Espanyol,2017/18,CM,79,Spain
Javi Fuego,RCD Espanyol,2017/18,CM,80,Spain
Joaquín,Real Betis Balompié,2017/18,LW,78,Spain
M. Gómez,RC Celta de Vigo,2017/18,ST,73,Uruguay
Carlos Soler,Valencia CF,2017/18,RW,76,Spain
Odriozola,Real Sociedad,2017/18,RW,74,Spain
Yeray,Athletic Club de Bilbao,2017/18,CB,78,Spain
Pablo Fornals,Villarreal CF,2017/18,LW,77,Spain
Marcos Llorente,Real Madrid CF,2017/18,CM,77,Spain
Vallejo,Real Madrid CF,2017/18,CB,77,Spain
N. Radoja,RC Celta de Vigo,2017/18,CDM,78,Serbia
Dani Ceballos,Real Madrid CF,2017/18,CAM,78,Spain
G. Escalante,SD Eibar,2017/18,CM,77,Argentina
G. Escalante,SD Eibar,2017/18,CM,77,Argentina
Capa,SD Eibar,2017/18,RB,78,Spain
Capa,SD Eibar,2017/18,RB,78,Spain
D. Rolán,Málaga CF,2017/18,LW,77,Uruguay
Diego Llorente,Real Sociedad,2017/18,CDM,79,Spain
Jonny,RC Celta de Vigo,2017/18,RB,77,Spain
A. Szymanowski,CD Leganés,2017/18,LW,78,Argentina
A. Szymanowski,CD Leganés,2017/18,LW,78,Argentina
Pacheco,Deportivo Alavés,2017/18,GK,77,Spain
G. Pizarro,Sevilla FC,2017/18,CM,78,Argentina
L. Vietto,Atlético Madrid,2017/18,ST,79,Argentina
Z. Feddal,Real Betis Balompié,2017/18,LB,77,Morocco
T. Inui,SD Eibar,2017/18,RW,78,Japan
Portu,Girona CF,2017/18,RW,76,Spain
A. Mandi,Real Betis Balompié,2017/18,CB,78,Algeria
A. Mandi,Real Betis Balompié,2017/18,CB,78,Algeria
Cristian Tello,Real Betis Balompié,2017/18,LW,77,Spain
J. Guidetti,RC Celta de Vigo,2017/18,ST,78,Sweden
J. Guidetti,RC Celta de Vigo,2017/18,ST,78,Sweden
Montoya,Valencia CF,2017/18,LB,77,Spain
H. Pérez,RCD Espanyol,2017/18,LW,79,Paraguay
R. Soriano,Villarreal CF,2017/18,CM,80,Italy
F. Orellana,Valencia CF,2017/18,RW,80,Chile
F. Orellana,Valencia CF,2017/18,RW,80,Chile
Canales,Real Sociedad,2017/18,RW,79,Spain
Balenziaga,Athletic Club de Bilbao,2017/18,LB,79,Spain
Ganso,Sevilla FC,2017/18,CM,80,Brazil
Roberto,Málaga CF,2017/18,GK,79,Spain
R. Rosales,Málaga CF,2017/18,RW,77,Venezuela
S. Kjær,Sevilla FC,2017/18,CB,81,Denmark
L. Rémy,UD Las Palmas,2017/18,ST,77,France
Granero,RCD Espanyol,2017/18,CDM,78,Spain
Adrián,RC Deportivo de La Coruña,2017/18,RW,75,Spain
Adrián,RC Deportivo de La Coruña,2017/18,RW,75,Spain
Javi García,Real Betis Balompié,2017/18,CDM,78,Spain
Sergio,RC Celta de Vigo,2017/18,GK,77,Spain
Juanmi,Real Sociedad,2017/18,LW,77,Spain
Aarón Martín,RCD Espanyol,2017/18,LB,76,Spain
M. Krohn-Dehli,Sevilla FC,2017/18,CM,79,Denmark
Luís Hernández,Málaga CF,2017/18,RB,77,Spain
A. Halilović,UD Las Palmas,2017/18,CM,77,Croatia
J. Correa,Sevilla FC,2017/18,ST,73,Argentina
Bruno,Getafe CF,2017/18,CB,77,Spain
Jozabed,RC Celta de Vigo,2017/18,CM,77,Spain
Vicente Gómez,UD Las Palmas,2017/18,CDM,79,Spain
Jordi Amat,Real Betis Balompié,2017/18,CB,77,Spain
Sergio León,Real Betis Balompié,2017/18,ST,77,Spain
D. Torres,Deportivo Alavés,2017/18,CM,77,Colombia
J. Calleri,UD Las Palmas,2017/18,ST,75,Argentina
Yoel,SD Eibar,2017/18,GK,77,Spain
Bojan,Deportivo Alavés,2017/18,ST,79,Spain
M. Barbosa,Villarreal CF,2017/18,GK,75,Argentina
F. Schär,RC Deportivo de La Coruña,2017/18,CB,75,Switzerland
N. Sansone,Villarreal CF,2017/18,RW,79,Italy
Luisinho,RC Deportivo de La Coruña,2017/18,LW,77,Portugal
Bigas,UD Las Palmas,2017/18,CB,78,Spain
Bigas,UD Las Palmas,2017/18,CB,78,Spain
Santi Mina,Valencia CF,2017/18,RW,76,Spain
Sergi Gómez,RC Celta de Vigo,2017/18,CB,77,Spain
Rubén Blanco,RC Celta de Vigo,2017/18,GK,75,Spain
Recio,Málaga CF,2017/18,CM,77,Spain
J. Campbell,Real Betis Balompié,2017/18,CAM,77,Costa Rica
Rodrigo,Villarreal CF,2017/18,CDM,70,Spain
Borja García,Girona CF,2017/18,LW,73,Spain
F. Cartabia,RC Deportivo de La Coruña,2017/18,LW,76,Argentina
Fontàs,RC Celta de Vigo,2017/18,CB,78,Spain
Fabián,Real Betis Balompié,2017/18,CAM,70,Spain
P. Sisto,RC Celta de Vigo,2017/18,RW,74,Denmark
O. Trejo,Rayo Vallecano,2017/18,ST,77,Argentina
S. Corchia,Sevilla FC,2017/18,RB,79,France
Carles Gil,RC Deportivo de La Coruña,2017/18,CAM,78,Spain
Carles Gil,RC Deportivo de La Coruña,2017/18,CAM,78,Spain
Sergio Álvarez,Real Sporting de Gijón,2017/18,CDM,77,Spain
Paulo Oliveira,SD Eibar,2017/18,CB,78,Portugal
Paulo Oliveira,SD Eibar,2017/18,CB,78,Portugal
Guaita,Getafe CF,2017/18,GK,73,Spain
Marc Muniesa,Girona CF,2017/18,LB,76,Spain
Unai Nuñez,Athletic Club de Bilbao,2017/18,CB,70,Spain
D. Siovas,CD Leganés,2017/18,CDM,75,Greece
Alcalá,Girona CF,2017/18,CB,75,Spain
D. Bonera,Villarreal CF,2017/18,CB,77,Italy
Javi López,RCD Espanyol,2017/18,RB,76,Spain
O. Duarte,RCD Espanyol,2017/18,CDM,77,Costa Rica
A. Rukavina,Villarreal CF,2017/18,RW,77,Serbia
A. Domínguez,Rayo Vallecano,2017/18,CM,76,Argentina
Alexis,Deportivo Alavés,2017/18,RB,76,Spain
Gálvez,SD Eibar,2017/18,CDM,76,Spain
P. Diop,RCD Espanyol,2017/18,CM,76,Senegal
Iraizoz,Girona CF,2017/18,GK,77,Spain
Guilherme,RC Deportivo de La Coruña,2017/18,CDM,76,Brazil
Michel Macedo,UD Las Palmas,2017/18,RB,76,Brazil
Munir,Deportivo Alavés,2017/18,ST,75,Spain
J. Geis,Sevilla FC,2017/18,CM,77,Germany
Roger,Levante UD,2017/18,ST,76,Spain
Andrés Fernández,Villarreal CF,2017/18,GK,76,Spain
Bóveda,Athletic Club de Bilbao,2017/18,CB,76,Spain
Keko,Málaga CF,2017/18,RW,79,Spain
Álvaro García,Cádiz C.F.,2017/18,CAM,71,Spain
Javi Varas,Granada CF,2017/18,GK,77,Spain
D. Cheryshev,Villarreal CF,2017/18,LW,78,Russia
D. Cheryshev,Villarreal CF,2017/18,LW,78,Russia
J. Añor,Málaga CF,2017/18,CAM,76,Venezuela
Timor,Girona CF,2017/18,CB,77,Spain
B. Espinosa,Girona CF,2017/18,CB,76,Colombia
F. Roncaglia,RC Celta de Vigo,2017/18,LB,77,Argentina
Serantes,CD Leganés,2017/18,GK,76,Spain
Aritz Elustondo,Real Sociedad,2017/18,CB,77,Spain
O. Romero,Deportivo Alavés,2017/18,LW,76,Paraguay
Laguardia,Deportivo Alavés,2017/18,CB,76,Spain
Camarasa,Real Betis Balompié,2017/18,RW,76,Spain
Borja Bastón,Málaga CF,2017/18,ST,78,Spain
E. Bardhi,Levante UD,2017/18,CM,73,FYR Macedonia
Jaume,Valencia CF,2017/18,GK,75,Spain
Mikel Rico,Athletic Club de Bilbao,2017/18,CM,74,Spain
Juanpe,Girona CF,2017/18,CB,74,Spain
Raúl Navas,Real Sociedad,2017/18,CB,78,Spain
Raúl Navas,Real Sociedad,2017/18,CB,78,Spain
E. Ünal,Villarreal CF,2017/18,ST,74,Turkey
Jony,Málaga CF,2017/18,RW,78,Spain
Jony,Málaga CF,2017/18,RW,78,Spain
J. Lerma,Levante UD,2017/18,RB,75,Colombia
Juanfran,RC Deportivo de La Coruña,2017/18,RB,78,Spain
Rubén Pardo,Real Sociedad,2017/18,CM,79,Spain
A. Ramos,Granada CF,2017/18,RW,78,Colombia
Javi Espinosa,Granada CF,2017/18,CM,76,Spain
F. Ricca,Málaga CF,2017/18,LB,74,Uruguay
Ibai Gómez,Deportivo Alavés,2017/18,CAM,76,Spain
Pere Pons,Girona CF,2017/18,CM,74,Spain
Aleix Vidal,FC Barcelona,2017/18,RW,76,Spain
Diego Rico,CD Leganés,2017/18,LWB,76,Spain
Ivi,Levante UD,2017/18,CAM,72,Spain
Iván Cuéllar,CD Leganés,2017/18,GK,75,Spain
Fran Rico,SD Eibar,2017/18,CAM,75,Spain
Gabriel,CD Leganés,2017/18,CDM,75,Brazil
Iván Ramis,SD Eibar,2017/18,CB,77,Spain
F. Fajr,Getafe CF,2017/18,CM,75,Morocco
Hermoso,RCD Espanyol,2017/18,CB,73,Spain
G. Castro,Málaga CF,2017/18,LW,75,Uruguay
Y. Bounou,Girona CF,2017/18,GK,71,Morocco
Diego Mariño,Real Sporting de Gijón,2017/18,GK,74,Spain
Naldo,RCD Espanyol,2017/18,CB,75,Brazil
Lato,Valencia CF,2017/18,LW,74,Spain
A. Katai,Deportivo Alavés,2017/18,LW,74,Serbia
Mata,Real Valladolid,2017/18,LW,73,Spain
Burgui,Deportivo Alavés,2017/18,RW,75,Spain
M. Dos Santos,CD Leganés,2017/18,CB,75,Argentina
Rúben Vezo,Valencia CF,2017/18,RB,74,Portugal
S. Lobotka,RC Celta de Vigo,2017/18,CM,69,Slovakia
Córdoba,Athletic Club de Bilbao,2017/18,LW,70,Spain
L. Chichizola,UD Las Palmas,2017/18,GK,73,Argentina
M. Lemos,UD Las Palmas,2017/18,CDM,77,Uruguay
Pablo Maffeo,Girona CF,2017/18,RW,72,Spain
Tana,UD Las Palmas,2017/18,LW,75,Spain
Kike García,SD Eibar,2017/18,ST,75,Spain
Sabin Merino,Athletic Club de Bilbao,2017/18,RW,75,Spain
G. Shibasaki,Getafe CF,2017/18,ST,75,Japan
Álvaro,RCD Espanyol,2017/18,ST,73,Spain
José Ángel,SD Eibar,2017/18,LB,74,Spain
Mosquera,RC Deportivo de La Coruña,2017/18,CM,78,Spain
Granell,Girona CF,2017/18,CM,73,Spain
Rubén Pérez,CD Leganés,2017/18,CM,75,Spain
Rodrigo Ely,Deportivo Alavés,2017/18,CB,74,Brazil
David Soria,Sevilla FC,2017/18,GK,73,Spain
T. Hernández,Real Madrid CF,2017/18,LB,75,France
Barragán,Real Betis Balompié,2017/18,RB,72,Spain
Toño García,Levante UD,2017/18,LWB,75,Spain
A. Peñaranda,Málaga CF,2017/18,LW,75,Venezuela
M. Dmitrović,SD Eibar,2017/18,GK,74,Serbia
M. Mantovani,CD Leganés,2017/18,CB,75,Argentina
Omar Ramos,CD Leganés,2017/18,LW,75,Spain
N. El Zhar,CD Leganés,2017/18,LW,75,Morocco
Baiano,Rayo Vallecano,2017/18,RB,76,Brazil
Lekue,Athletic Club de Bilbao,2017/18,LWB,75,Spain
Medrán,Deportivo Alavés,2017/18,CAM,74,Spain
A. Aquilani,UD Las Palmas,2017/18,CDM,75,Italy
Manu García,Deportivo Alavés,2017/18,CM,75,Spain
Agirretxe,Real Sociedad,2017/18,ST,76,Spain
Arribas,RC Deportivo de La Coruña,2017/18,CB,75,Spain
David Juncà,SD Eibar,2017/18,LB,74,Spain
Lombán,SD Eibar,2017/18,RB,75,Spain
Guerrero,CD Leganés,2017/18,ST,74,Spain
G. Maripán,Deportivo Alavés,2017/18,CB,74,Chile
E. Velázquez,Rayo Vallecano,2017/18,CB,74,Uruguay
Salvi,Cádiz C.F.,2017/18,LW,70,Spain
Fernando Navarro,RC Deportivo de La Coruña,2017/18,LB,74,Spain
A. Ba,Rayo Vallecano,2017/18,CB,74,Senegal
C. Beauvue,CD Leganés,2017/18,RW,74,France
D. Machís,Granada CF,2017/18,ST,74,Venezuela
Juankar,Málaga CF,2017/18,LWB,74,Spain
Rubén Peña,SD Eibar,2017/18,RW,74,Spain
Embarba,Rayo Vallecano,2017/18,CAM,72,Spain
Arbilla,SD Eibar,2017/18,LB,74,Spain
M. Santos,Real Sporting de Gijón,2017/18,LW,73,Uruguay
Álex Remiro,SD Huesca,2017/18,GK,72,Spain
Víctor Díaz,Granada CF,2017/18,LB,74,Spain
Roberto Torres,CA Osasuna,2017/18,LW,76,Spain
David García,CA Osasuna,2017/18,CB,75,Spain
D. Suárez,Getafe CF,2017/18,RWB,74,Uruguay
Carles Planas,Girona CF,2017/18,LB,74,Spain
E. Mor,RC Celta de Vigo,2017/18,ST,70,Turkey
Raul García,CD Leganés,2017/18,CB,74,Spain
O. Kayode,Girona CF,2017/18,ST,73,Nigeria
Postigo,Levante UD,2017/18,CB,74,Spain
M. Villanueva,Cádiz C.F.,2017/18,CB,74,Venezuela
C. Doukouré,Levante UD,2017/18,CM,73,Ivory Coast
Eraso,CD Leganés,2017/18,CDM,74,Spain
Chema Rodríguez,Levante UD,2017/18,CB,74,Spain
Ximo Navarro,UD Las Palmas,2017/18,LB,75,Spain
Ramalho,Girona CF,2017/18,RB,74,Spain
K. Rodrigues,Real Sociedad,2017/18,LW,70,Portugal
Dani Pacheco,Getafe CF,2017/18,LW,74,Spain
David García,UD Las Palmas,2017/18,RB,77,Spain
Dani Castellano,UD Las Palmas,2017/18,LB,75,Spain
Álex Martínez,Granada CF,2017/18,LB,74,Spain
A. Ndiaye Diedhiou,Getafe CF,2017/18,CAM,74,Senegal
Samu García,Levante UD,2017/18,ST,75,Spain
Marc Roca,RCD Espanyol,2017/18,CM,74,Spain
O. Tannane,UD Las Palmas,2017/18,CAM,74,Morocco
M. Wakaso,Deportivo Alavés,2017/18,RW,75,Ghana
Adrián González,Málaga CF,2017/18,LW,76,Spain
Bebé,SD Eibar,2017/18,RW,74,Portugal
Aday Benítez,Girona CF,2017/18,RWB,71,Spain
Carmona,Real Sporting de Gijón,2017/18,CM,73,Spain
Z. Kuzmanović,Málaga CF,2017/18,CDM,74,Serbia
F. Valverde,RC Deportivo de La Coruña,2017/18,RW,70,Uruguay
Pedraza,Deportivo Alavés,2017/18,LB,72,Spain
Oier,CA Osasuna,2017/18,CM,74,Spain
Ángel,Getafe CF,2017/18,ST,72,Spain
Isaac Becerra,Real Valladolid,2017/18,GK,75,Spain
De la Bella,Real Sociedad,2017/18,LB,75,Spain
Bruno Gama,RC Deportivo de La Coruña,2017/18,LW,74,Portugal
Luna,Levante UD,2017/18,LB,75,Spain
David Simón,UD Las Palmas,2017/18,RB,74,Spain
Carlos Martínez,Real Sociedad,2017/18,RB,76,Spain
Sergio Sánchez,RCD Espanyol,2017/18,CB,74,Spain
Moi Gómez,Real Sporting de Gijón,2017/18,CAM,74,Spain
Vesga,Athletic Club de Bilbao,2017/18,CM,72,Spain
Alex Bergantiños,Real Sporting de Gijón,2017/18,CB,74,Spain
Saborit,Athletic Club de Bilbao,2017/18,CB,70,Spain
J. Mojica,Girona CF,2017/18,LB,70,Colombia
Naranjo,CD Leganés,2017/18,LW,73,Spain
E. Boateng,Levante UD,2017/18,ST,72,Ghana
Miguel Flaño,CA Osasuna,2017/18,CB,73,Spain
Diego González,Málaga CF,2017/18,CB,73,Spain
Rubén,RC Deportivo de La Coruña,2017/18,GK,72,Spain
Raúl Fernández,Levante UD,2017/18,GK,74,Spain
Alberto,Rayo Vallecano,2017/18,GK,73,Spain
Miguel Torres,Málaga CF,2017/18,RB,75,Spain
Kiko Olivas,Real Valladolid,2017/18,CB,74,Spain
Jason,Levante UD,2017/18,LW,73,Spain
Joselu,Granada CF,2017/18,LW,73,Spain
Róber,Levante UD,2017/18,CDM,72,Spain
E. Muñoz,CD Leganés,2017/18,CB,73,Argentina
Míchel,Real Valladolid,2017/18,CM,74,Spain
David Rodríguez,CA Osasuna,2017/18,ST,74,Spain
N. Maksimović,Valencia CF,2017/18,CAM,72,Serbia
Clerc,CA Osasuna,2017/18,LW,73,Spain
Rubén Duarte,Deportivo Alavés,2017/18,LB,72,Spain
Rubén García,Real Sporting de Gijón,2017/18,RW,73,Spain
Dídac Vilà,RCD Espanyol,2017/18,LB,72,Spain
Markel Bergara,Getafe CF,2017/18,CDM,72,Spain
D. Djené,Getafe CF,2017/18,RB,70,Togo
M. Motta,UD Almería,2017/18,RW,73,Italy
Bustinza,CD Leganés,2017/18,RWB,73,Spain
Oier,Levante UD,2017/18,GK,71,Spain
Jorge Molina,Getafe CF,2017/18,ST,73,Spain
Iván Alejo,SD Eibar,2017/18,RWB,70,Spain
A. Costa,UD Almería,2017/18,CDM,74,Argentina
H. Menosse,Granada CF,2017/18,CB,73,Uruguay
Riesgo,SD Eibar,2017/18,GK,76,Spain
F. Cerro,Rayo Vallecano,2017/18,CAM,73,Argentina
De Tomás,Rayo Vallecano,2017/18,ST,72,Spain
Javi Castellano,UD Las Palmas,2017/18,CM,73,Spain
C. Santos,Deportivo Alavés,2017/18,CAM,73,Venezuela
Jordi Masip,Real Valladolid,2017/18,GK,72,Spain
Quique,CA Osasuna,2017/18,LW,73,Spain
Borja Valle,RC Deportivo de La Coruña,2017/18,ST,71,Spain
Tano Bonnin,CA Osasuna,2017/18,RWB,73,Dominican Republic
Melero,SD Huesca,2017/18,CAM,71,Spain
Aythami Artiles,UD Las Palmas,2017/18,CB,76,Spain
R. Durmisi,Real Betis Balompié,2017/18,LWB,73,Denmark
Raúl Lizoain,UD Las Palmas,2017/18,GK,73,Spain
D. Brašanac,CD Leganés,2017/18,RW,73,Serbia
A. Hakimi,Real Madrid CF,2017/18,LB,71,Morocco
Tomás Pina,Deportivo Alavés,2017/18,CDM,73,Spain
Fran Mérida,CA Osasuna,2017/18,CAM,73,Spain
Tito,CD Leganés,2017/18,LB,73,Spain
Nacho Vidal,Valencia CF,2017/18,LB,70,Spain
Zaldúa,CD Leganés,2017/18,RB,73,Spain
Mula,Málaga CF,2017/18,LW,64,Spain
Óscar Plano,Real Valladolid,2017/18,CAM,72,Spain
Deivid,Real Valladolid,2017/18,CB,74,Spain
Rober Ibáñez,Valencia CF,2017/18,LW,72,Spain
Jordi Calavera,Real Sporting de Gijón,2017/18,RB,71,Spain
Lucas Torró,CA Osasuna,2017/18,CM,71,Spain
Zubeldia,Real Sociedad,2017/18,CM,70,Spain
Nano,Levante UD,2017/18,LW,73,Spain
De las Cuevas,CA Osasuna,2017/18,LW,73,Spain
Unai Garcia,CA Osasuna,2017/18,CB,72,Spain
Borja Mayoral,Real Madrid CF,2017/18,ST,72,Spain
Aridane,CA Osasuna,2017/18,CB,72,Spain
Pedro López,Levante UD,2017/18,RW,72,Spain
E. Cabaco,Levante UD,2017/18,CB,69,Uruguay
Lora,Real Sporting de Gijón,2017/18,RB,74,Spain
Portillo,Getafe CF,2017/18,ST,72,Spain
Joan Jordán,SD Eibar,2017/18,CDM,72,Spain
Fausto Tienza,CA Osasuna,2017/18,CDM,73,Spain
M. Saunier,Granada CF,2017/18,CB,72,France
N. Gorosito,Getafe CF,2017/18,CB,72,Argentina
Guitián,Real Valladolid,2017/18,CDM,73,Spain
